Title,Year,Rated,Runtime,Genre,RottenTomatoes,Metascore,IMDB,BoxOffice
Coraline,2009,PG,100,"Animation, Drama, Family",90,80,7.7,82435595
Corpse Bride,2005,PG,77,"Animation, Drama, Family",84,83,7.4,53401527
Courageous,2011,PG-13,129,Drama,36,42,6.9,35027076
Crash,2004,R,112,"Crime, Drama, Thriller",74,66,7.7,54580300
Crazy Rich Asians,2018,PG-13,120,"Comedy, Drama, Romance",91,74,6.9,174837452
"Crazy, Stupid, Love.",2011,PG-13,118,"Comedy, Drama, Romance",79,68,7.4,84379584
Creed,2015,PG-13,133,"Action, Drama, Sport",95,82,7.6,109778883
Creed III,2023,PG-13,116,"Drama, Sport",88,73,6.7,156248615
Crimes and Misdemeanors,1989,PG-13,104,"Comedy, Drama",92,77,7.8,18254702
Crimson Tide,1995,R,116,"Action, Drama, Thriller",89,66,7.3,91387195
Cross of Iron,1977,R,119,"Drama, War",71,64,7.4,0
Crossroads,1986,R,99,"Drama, Music, Mystery",76,55,7.1,5839031
Cruella,2021,PG-13,134,"Adventure, Comedy, Crime",75,59,7.3,86103234
Crush,2022,TV-MA,93,"Comedy, Romance",79,56,6.3,0
Dallas Buyers Club,2013,R,117,"Biography, Drama",92,77,7.9,27298285
Dancer in the Dark,2000,R,140,"Crime, Drama, Musical",70,63,7.9,4184036
Dances with Wolves,1990,PG-13,181,"Adventure, Drama, Western",87,72,8.0,184208848
Dangerous Liaisons,1988,R,119,"Drama, Romance",94,74,7.6,34670720
Dark City,1998,R,100,"Fantasy, Mystery, Sci-Fi",76,66,7.6,14378331
Dark Passage,1947,Approved,106,"Film-Noir, Thriller",90,68,7.5,0
Dark Waters,2019,PG-13,126,"Biography, Drama, History",90,73,7.6,11136084
Darkest Hour,2017,PG-13,125,"Biography, Drama, War",84,75,7.4,56468410
Dawn of the Dead,1978,Not Rated,127,"Horror, Thriller",91,71,7.8,0
Dawn of the Dead,2004,R,101,"Action, Horror",76,59,7.3,59020957
Dawn of the Planet of the Apes,2014,PG-13,130,"Action, Adventure, Drama",91,79,7.6,208545589
Day & Night,2010,G,6,"Animation, Short, Comedy",0,0,8.0,0
Day of the Dead,1985,Not Rated,101,"Horror, Thriller",86,60,7.1,5000000
Days of Heaven,1978,PG,94,"Drama, Romance",93,93,7.8,3446749
Dazed and Confused,1993,R,103,Comedy,93,80,7.6,8144774
DC League of Super-Pets,2022,PG,105,"Animation, Action, Adventure",72,56,7.1,93657117
Dead Alive,1992,R,104,"Comedy, Fantasy, Horror",89,54,7.5,242623
Dead Man,1995,R,121,"Adventure, Drama, Fantasy",70,62,7.5,1037847
Dead Man Walking,1995,R,122,"Crime, Drama",95,80,7.5,39363635
Dead Man's Shoes,2004,Not Rated,90,"Crime, Drama, Thriller",60,52,7.5,6408
Dead Poets Society,1989,PG,128,"Comedy, Drama",84,79,8.1,95860116
Dead Ringers,1988,R,116,"Drama, Horror, Thriller",85,86,7.2,8038508
Deadpool,2016,R,108,"Action, Comedy",85,65,8.0,363070709
Deadpool 2,2018,R,119,"Action, Adventure, Comedy",84,66,7.6,324591735
Deadpool: No Good Deed,2017,Not Rated,4,"Short, Comedy, Crime",0,0,8.0,0
Death and the Maiden,1994,R,103,"Drama, Mystery, Thriller",82,72,7.2,3103716
Death on the Nile,1978,PG,140,"Crime, Drama, Mystery",79,59,7.2,14560084
Deconstructing Harry,1997,R,96,Comedy,73,61,7.3,10686841
Deliverance,1972,R,109,"Adventure, Drama, Thriller",89,80,7.7,0
Descendants,2015,TV-G,112,"Comedy, Family, Fantasy",90,0,6.3,0
Descendants 2,2017,TV-G,111,"Action, Adventure, Family",71,0,6.3,0
Descendants 3,2019,TV-G,106,"Adventure, Family, Musical",78,0,6.4,0
Desert Flower,2009,R,120,"Biography, Drama",50,54,7.3,44348
Despicable Me,2010,PG,95,"Animation, Adventure, Comedy",80,72,7.6,251557985
Detachment,2011,Not Rated,98,Drama,59,52,7.7,72689
Detour,1945,Approved,66,"Crime, Drama, Film-Noir",98,0,7.3,16172
Detroit,2017,R,143,"Crime, Drama, History",82,77,7.3,16790139
Devotion,2022,PG-13,139,"Action, Biography, Drama",81,66,6.6,20511938
Dial M for Murder,1954,PG,105,"Crime, Thriller",90,75,8.2,24845
Die Hard,1988,R,132,"Action, Thriller",94,72,8.2,83844093
Die Hard with a Vengeance,1995,R,128,"Action, Adventure, Thriller",58,58,7.6,100012499
Dirty Dancing,1987,PG-13,100,"Drama, Music, Romance",72,65,7.0,64577242
Dirty Harry,1971,R,102,"Action, Crime, Thriller",89,87,7.7,35988495
Dirty Rotten Scoundrels,1988,PG,110,"Comedy, Crime",89,68,7.4,42039085
Disconnect,2012,R,115,"Crime, Drama, Mystery",71,64,7.5,1436900
District 9,2009,R,112,"Action, Sci-Fi, Thriller",90,81,7.9,115646235
Django Unchained,2012,R,165,"Drama, Western",87,81,8.5,162805434
Do the Right Thing,1989,R,120,"Comedy, Drama",92,93,8.0,27545445
Doctor Sleep,2019,R,152,"Drama, Fantasy, Horror",78,59,7.3,31581712
Doctor Strange,2016,PG-13,115,"Action, Adventure, Fantasy",89,72,7.5,232641920
Doctor Strange in the Multiverse of Madness,2022,PG-13,126,"Action, Adventure, Fantasy",73,60,6.9,411331607
Doctor Zhivago,1965,PG-13,197,"Drama, Romance, War",82,69,7.9,111721910
Dog,2022,PG-13,101,"Comedy, Drama",77,61,6.5,61778069
Dog Day Afternoon,1975,R,125,"Biography, Crime, Drama",96,86,8.0,50000000
Dog Pound,2010,Not Rated,91,"Crime, Drama",63,57,7.0,0
Dogville,2003,R,178,"Crime, Drama",70,61,8.0,1535286
Dolores Claiborne,1995,R,132,"Crime, Drama, Mystery",85,62,7.4,24361867
Donnie Brasco,1997,R,127,"Biography, Crime, Drama",88,76,7.7,41909762
Donnie Darko,2001,R,113,"Drama, Mystery, Sci-Fi",87,88,8.0,1478493
Don't Breathe 2,2021,R,98,"Action, Crime, Horror",44,46,6.0,32712950
Don't Look Up,2021,R,138,"Comedy, Drama, Sci-Fi",55,49,7.2,0
Dope,2015,R,103,"Adventure, Comedy, Crime",88,72,7.2,17506470
Double Indemnity,1944,Approved,107,"Crime, Drama, Film-Noir",97,95,8.3,0
Doubt,2008,PG-13,104,"Drama, Mystery",79,68,7.5,33446470
Down by Law,1986,R,107,"Comedy, Crime, Drama",88,75,7.7,1435668
Downton Abbey,2019,PG,122,"Drama, Romance",84,64,7.4,96853865
Downton Abbey: A New Era,2022,PG,124,"Drama, Romance",87,63,7.4,44141550
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,PG,95,"Comedy, War",98,97,8.4,9440272
Dracula,1931,Approved,75,"Drama, Fantasy, Horror",94,71,7.4,0
Dragons: Dawn of the Dragon Racers,2014,TV-PG,26,"Animation, Short, Adventure, Comedy, Family, Fantasy",0,0,7.0,0
Dragons: Gift of the Night Fury,2011,TV-G,22,"Animation, Short, Adventure, Comedy, Family, Fantasy",0,0,7.6,0
Drive,2011,R,100,"Action, Drama",93,78,7.8,35061555
Driving Miss Daisy,1989,PG,99,"Comedy, Drama, Romance",85,81,7.3,106593296
Drugstore Cowboy,1989,R,101,"Crime, Drama",97,82,7.3,4729352
Duck Soup,1933,Not Rated,69,"Comedy, Musical",91,93,7.8,0
Duel,1971,PG,90,"Action, Thriller",89,81,7.6,0
Dune,2021,PG-13,155,"Action, Adventure, Drama",83,74,8.0,108327830
Dungeons & Dragons: Honor Among Thieves,2023,PG-13,134,"Action, Adventure, Comedy",91,72,7.3,93277026
Dunkirk,2017,PG-13,106,"Action, Drama, History",92,94,7.8,189740665
E.T. the Extra-Terrestrial,1982,PG,115,"Adventure, Family, Sci-Fi",99,92,7.9,437141279
East of Eden,1955,PG,118,Drama,86,72,7.8,0
Eastern Promises,2007,R,100,"Crime, Drama, Thriller",89,83,7.6,17266000
Easy Rider,1969,R,95,"Adventure, Drama",84,85,7.3,123276
Ed Wood,1994,R,127,"Biography, Comedy, Drama",93,70,7.8,5887457
Eddie Murphy: Raw,1987,R,93,"Documentary, Comedy",77,54,7.6,50504655
Eddie the Eagle,2015,PG-13,106,"Adventure, Biography, Comedy",81,54,7.3,15789389
Edge of Tomorrow,2014,PG-13,113,"Action, Adventure, Sci-Fi",91,71,7.9,100206256
Edward Scissorhands,1990,PG-13,105,"Drama, Fantasy, Romance",89,74,7.9,56362352
Eighth Grade,2018,R,93,"Comedy, Drama",99,87,7.4,13539709
El Dorado,1966,Approved,126,"Drama, Romance, Western",96,85,7.5,0
Elemental,2023,PG,101,"Animation, Adventure, Comedy",73,58,7.0,154426697
Elephant,2003,R,81,"Crime, Drama, Thriller",74,70,7.1,1266955
Elizabeth,1998,R,124,"Biography, Drama, History",83,75,7.4,30082699
Elvis,2022,PG-13,159,"Biography, Drama, Music",77,64,7.3,151040048
Emancipation,2022,R,132,"Action, Thriller",45,53,6.2,0
Emma.,2020,PG,124,"Comedy, Drama, Romance",86,71,6.7,10055355
Empire of the Sun,1987,PG,153,"Drama, War",78,62,7.7,22238696
Encanto,2021,PG,102,"Animation, Comedy, Family",91,75,7.2,96093622
End of Watch,2012,R,109,"Action, Crime, Drama",85,68,7.6,41003371
Enemy at the Gates,2001,R,131,"Action, Drama, War",54,53,7.5,51401758
Enola Holmes,2020,PG-13,123,"Action, Adventure, Crime",91,68,6.6,0
Enola Holmes 2,2022,PG-13,129,"Action, Adventure, Crime",93,64,6.8,0
Enter the Dragon,1973,R,102,"Action, Crime, Thriller",88,83,7.6,25259
Enter the Void,2009,Not Rated,161,"Drama, Fantasy",73,69,7.2,336467
Entergalactic,2022,TV-MA,93,"Animation, Comedy, Music",97,0,7.3,0
Eraserhead,1977,Not Rated,89,"Fantasy, Horror",89,87,7.3,0
Erin Brockovich,2000,R,131,"Biography, Drama",85,73,7.4,125595205
Escape from Alcatraz,1979,PG,112,"Action, Biography, Crime",97,76,7.6,43000000
Escape from New York,1981,R,99,"Action, Adventure, Sci-Fi",88,76,7.1,25244626
Escape from Pretoria,2020,PG-13,106,"Biography, Crime, Mystery",73,56,6.8,0
Eternal Sunshine of the Spotless Mind,2004,R,108,"Drama, Romance, Sci-Fi",92,89,8.3,34400301
Ever After: A Cinderella Story,1998,PG-13,121,"Drama, Romance",91,66,7.1,65705771
Every Day,2018,PG-13,97,"Drama, Fantasy, Romance",63,52,6.4,6102076
Everything Everywhere All at Once,2022,R,139,"Action, Adventure, Comedy",94,81,7.8,77191785
Everything Is Illuminated,2005,PG-13,106,"Comedy, Drama",66,58,7.4,1712337
"Everything, Everything",2017,PG-13,96,"Drama, Romance",44,52,6.3,34121140
Evil Dead II,1987,R,84,"Comedy, Horror",88,72,7.7,5923044
Ex Machina,2014,R,108,"Drama, Sci-Fi, Thriller",92,78,7.7,25442958
Extraction,2020,R,116,"Action, Thriller",67,56,6.8,0
Extraction II,2023,R,122,"Action, Thriller",79,57,7.0,0
Eyes Wide Shut,1999,TV-MA,159,"Drama, Mystery, Thriller",76,68,7.5,55691208
F9: The Fast Saga,2021,PG-13,143,"Action, Crime, Thriller",59,58,5.2,173005945
Facing the Giants,2006,PG,111,"Drama, Fantasy, Sport",16,38,6.5,10178331
Fahrenheit 451,1966,Not Rated,112,"Drama, Sci-Fi",81,0,7.2,509
Fail Safe,1964,Approved,112,"Drama, Thriller",93,75,8.0,3924000
Fall,2022,PG-13,107,"Action, Thriller",79,62,6.4,7240521
Falling Down,1993,R,113,"Action, Crime, Drama",75,56,7.6,40903593
Fantasia,1940,G,124,"Animation, Family, Fantasy",95,96,7.7,76408097
Fantastic Beasts and Where to Find Them,2016,PG-13,132,"Adventure, Family, Fantasy",74,66,7.2,234037575
Fantastic Mr. Fox,2009,PG,87,"Animation, Adventure, Comedy",93,83,7.9,21002919
Far from the Madding Crowd,2015,PG-13,119,"Drama, Romance",85,71,7.1,12236500
Far from the Tree,2021,G,7,"Animation, Short, Adventure",0,0,7.5,0
Fargo,1996,R,98,"Crime, Thriller",94,86,8.1,24611975
Fast Five,2011,PG-13,130,"Action, Crime, Thriller",78,66,7.3,209837675
Fast X,2023,PG-13,141,"Action, Adventure, Crime",56,56,5.8,146126015
Father Stu,2022,R,124,"Biography, Drama",42,40,6.5,21090677
Fatherhood,2021,PG-13,109,"Comedy, Drama",68,53,6.6,0
Fathers & Daughters,2015,R,116,Drama,27,31,7.0,0
Fear and Loathing in Las Vegas,1998,R,118,"Adventure, Comedy, Drama",50,41,7.5,10680275
Fear Street: Part Three - 1666,2021,R,114,"Horror, Mystery",88,68,6.6,0
Fear Street: Part Two - 1978,2021,R,109,"Drama, Horror, Mystery",87,61,6.7,0
Feast,2014,G,6,"Animation, Short, Comedy",0,0,8.2,0
Feel the Beat,2020,TV-G,109,"Comedy, Drama, Family",50,0,6.3,0
Felon,2008,R,104,"Crime, Thriller",60,58,7.4,0
Ferdinand,2017,PG,108,"Animation, Adventure, Comedy",71,58,6.7,84410380
Ferris Bueller's Day Off,1986,PG-13,103,Comedy,82,61,7.8,70136369
Fiddler on the Roof,1971,G,181,"Drama, Family, Musical",80,67,8.0,10404330
Field of Dreams,1989,PG,107,"Drama, Family, Fantasy",88,57,7.5,64431625
Fight Club,1999,R,139,Drama,79,67,8.8,37030102
Finch,2021,PG-13,115,"Adventure, Drama, Sci-Fi",74,57,6.9,0
Finding Dory,2016,PG,97,"Animation, Adventure, Comedy",94,77,7.2,486295561
Finding Forrester,2000,PG-13,136,Drama,74,62,7.3,51804714
Finding Nemo,2003,G,100,"Animation, Adventure, Comedy",99,90,8.2,380843261
Fireproof,2008,PG,122,"Drama, Romance",38,28,6.4,33456317
First Blood,1982,R,93,"Action, Adventure, Thriller",86,61,7.7,47212904
First Cow,2019,PG-13,122,"Drama, Western",96,89,7.1,101068
First Man,2018,PG-13,141,"Biography, Drama, History",87,84,7.3,44936545
First They Killed My Father,2017,TV-MA,136,"Biography, Drama, History",88,72,7.2,0
Five Easy Pieces,1970,R,98,Drama,89,85,7.4,0
Five Feet Apart,2019,PG-13,116,"Drama, Romance",53,53,7.2,45729221
Five Nights at Freddy's,2023,PG-13,109,"Horror, Mystery, Thriller",0,0,5.5,137251390
Flamin' Hot,2023,PG-13,99,"Biography, Drama, History",69,58,6.9,0
Flipped,2010,PG,90,"Comedy, Drama, Romance",55,45,7.7,1755212
Following,1998,R,69,"Crime, Mystery, Thriller",84,60,7.5,48482
For the Birds,2000,G,3,"Animation, Short, Comedy",0,0,8.0,0
Forbidden Planet,1956,G,98,"Adventure, Sci-Fi",96,80,7.5,0
Ford v Ferrari,2019,PG-13,152,"Action, Biography, Drama",92,81,8.1,117624357
Forever My Girl,2018,PG,108,"Comedy, Drama, Music",24,36,6.6,16376066
Forrest Gump,1994,PG-13,142,"Drama, Romance",71,82,8.8,330455270
Forrest Gump,1994,PG-13,142,"Drama, Romance",71,82,8.8,330455270
Fracture,2007,R,113,"Crime, Drama, Thriller",72,68,7.2,39015018
Frances Ha,2012,R,86,"Comedy, Drama, Romance",92,82,7.4,4069826
Frankenstein,1931,Approved,70,"Drama, Horror, Sci-Fi",94,91,7.8,0
Freaks,1932,Not Rated,64,"Drama, Horror",95,80,7.8,0
Free Guy,2021,PG-13,115,"Action, Adventure, Comedy",80,62,7.1,121626598
Freedom Writers,2007,PG-13,123,"Biography, Crime, Drama",70,64,7.6,36605602
Freeheld,2015,PG-13,103,"Biography, Drama, Romance",50,50,6.6,546201
Frenzy,1972,R,116,Thriller,91,92,7.4,0
Frequency,2000,PG-13,118,"Crime, Drama, Mystery",70,67,7.4,45010278
Frida,2002,R,123,"Biography, Drama, Romance",76,61,7.3,25885000
Friday,1995,R,91,"Comedy, Drama",76,54,7.2,27467564
Fried Green Tomatoes,1991,PG-13,130,Drama,76,64,7.7,82418501
From Here to Eternity,1953,Approved,118,"Drama, Romance, War",88,85,7.6,36416
From Russia with Love,1963,PG,115,"Action, Adventure, Thriller",97,83,7.3,24796765
Frost/Nixon,2008,R,122,"Biography, Drama, History",93,80,7.7,18622031
Frozen,2013,PG,102,"Animation, Adventure, Comedy",90,75,7.4,400953009
Frozen II,2019,PG,103,"Animation, Adventure, Comedy",77,64,6.8,477373578
Fruitvale Station,2013,R,85,"Biography, Crime, Drama",94,85,7.5,16101339
Full Metal Jacket,1987,R,116,"Drama, War",90,78,8.3,46357676
Full Out,2015,TV-PG,90,"Biography, Drama, Family",0,0,6.3,0
Funny Girl,1968,G,151,"Biography, Comedy, Drama",94,89,7.3,52223306
Furious 7,2015,PG-13,137,"Action, Crime, Thriller",81,67,7.1,353007020
Fury,2014,R,134,"Action, Drama, War",76,64,7.6,85817906
Futurama: Bender's Big Score,2007,Not Rated,88,"Animation, Comedy, Romance, Sci-Fi",100,0,7.7,0
Gabriel's Inferno: Part One,2020,Not Rated,124,Romance,0,0,5.9,0
Gabriel's Inferno: Part Three,2020,R,102,Romance,0,0,6.5,0
Gabriel's Inferno: Part Two,2020,TV-14,106,Romance,0,0,6.4,0
Galaxy Quest,1999,PG,102,"Adventure, Comedy, Sci-Fi",90,70,7.4,71583916
Gallipoli,1981,PG,110,"Adventure, Drama, History",91,65,7.4,5732587
Gandhi,1982,PG,191,"Biography, Drama, History",89,79,8.0,52767889
Gangs of New York,2002,R,167,"Crime, Drama",73,72,7.5,77812000
Garden State,2004,R,102,"Comedy, Drama, Romance",86,67,7.4,26782316
Gaslight,1944,Approved,114,"Crime, Drama, Mystery",89,78,7.8,0
Gattaca,1997,PG-13,106,"Drama, Sci-Fi, Thriller",82,64,7.7,12532777
Gentlemen Prefer Blondes,1953,Approved,91,"Comedy, Musical, Romance",88,0,7.1,0
Geri's Game,1997,G,5,"Animation, Short, Comedy",0,0,7.8,0
Get Out,2017,R,104,"Horror, Mystery, Thriller",98,85,7.8,176196665
Ghost,1990,PG-13,127,"Drama, Fantasy, Romance",75,52,7.1,217631306
Ghost Dog: The Way of the Samurai,1999,R,116,"Crime, Drama",84,68,7.5,3308029
Ghost World,2001,R,111,"Comedy, Drama",93,90,7.3,6217849
Ghostbusters,1984,PG,105,"Action, Comedy, Fantasy",95,71,7.8,243578797
Ghostbusters: Afterlife,2021,PG-13,124,"Adventure, Comedy, Fantasy",64,45,7.1,129360575
Gia,1998,R,120,"Biography, Drama, Romance",88,0,6.9,0
Giant,1956,G,201,"Drama, Western",88,84,7.6,32855818
Gifted,2017,PG-13,101,Drama,73,60,7.6,24801212
Gifted Hands: The Ben Carson Story,2009,Not Rated,90,"Biography, Drama",0,0,7.5,0
Gilda,1946,Approved,110,"Drama, Film-Noir, Romance",90,0,7.6,0
Girl in the Basement,2021,TV-14,88,"Crime, Thriller",0,0,6.3,0
"Girl, Interrupted",1999,R,127,"Biography, Drama",53,51,7.3,28912646
Gladiator,2000,R,155,"Action, Adventure, Drama",79,67,8.5,187705427
Gladiator,1992,R,101,"Action, Drama, Sport",31,49,6.5,9223441
Glass Onion,2022,PG-13,139,"Comedy, Crime, Drama",92,81,7.1,13280000
Glengarry Glen Ross,1992,R,100,"Crime, Drama, Mystery",95,82,7.7,10725228
Glory,1989,R,122,"Biography, Drama, History",95,78,7.8,26979166
Glory Road,2006,PG,118,"Biography, Drama, Sport",55,58,7.2,42647449
God's Own Country,2017,Not Rated,104,"Drama, Romance",98,85,7.6,335609
Godzilla vs. Kong,2021,PG-13,113,"Action, Sci-Fi, Thriller",76,59,6.3,100916094
Goldfinger,1964,PG,110,"Action, Adventure, Thriller",99,87,7.7,51081062
Gone Baby Gone,2007,R,114,"Crime, Drama, Mystery",94,72,7.6,20292962
Gone Girl,2014,R,149,"Drama, Mystery, Thriller",88,79,8.1,167767189
Gone with the Wind,1939,Approved,238,"Drama, Romance, War",90,97,8.2,200882193
"Good Morning, Vietnam",1987,R,121,"Biography, Comedy, Drama",89,67,7.3,123922370
"Good Night, and Good Luck.",2005,PG,93,"Biography, Drama, History",93,80,7.4,31558003
Good Time,2017,R,102,"Crime, Drama, Thriller",91,80,7.3,2026499
Good Will Hunting,1997,R,126,"Drama, Romance",97,70,8.3,138433435
Goodbye Christopher Robin,2017,PG,107,"Biography, Drama, Family",64,54,7.1,1735251
Goodfellas,1990,R,145,"Biography, Crime, Drama",94,92,8.7,46909721
Gran Torino,2008,R,116,Drama,81,72,8.1,148095302
Gran Turismo,2023,PG-13,134,"Action, Adventure, Drama",0,0,7.2,44428554
Gravity,2013,PG-13,91,"Drama, Sci-Fi, Thriller",96,96,7.7,274092705
Grease,1978,PG,110,"Comedy, Musical, Romance",78,70,7.2,190071103
Green Book,2018,PG-13,130,"Biography, Comedy, Drama",77,69,8.2,85080171
Green Street Hooligans,2005,R,109,"Crime, Drama, Sport",46,55,7.4,346830
Greenland,2020,PG-13,119,"Action, Thriller",78,64,6.4,0
Gremlins,1984,PG,106,"Comedy, Fantasy, Horror",86,70,7.3,153642180
Greyhound,2020,PG-13,91,"Action, Drama, History",77,64,7.0,0
Groundhog Day,1993,PG,101,"Comedy, Drama, Fantasy",94,72,8.0,71107962
Guardians of the Galaxy,2014,PG-13,121,"Action, Adventure, Comedy",92,76,8.0,333718600
Guardians of the Galaxy Vol. 2,2017,PG-13,136,"Action, Adventure, Comedy",85,67,7.6,389813101
Guardians of the Galaxy Vol. 3,2023,PG-13,150,"Action, Adventure, Comedy",82,64,7.9,358995815
Guess Who's Coming to Dinner,1967,Approved,108,"Comedy, Drama",71,63,7.8,56666667
Guillermo del Toro's Pinocchio,2022,PG,117,"Animation, Drama, Family",28,79,7.6,0
Hachi: A Dog's Tale,2009,G,93,"Biography, Drama, Family",64,0,8.1,0
Hacksaw Ridge,2016,R,139,"Biography, Drama, History",84,71,8.1,67209615
Hair,1979,PG,121,"Comedy, Drama, Musical",82,68,7.5,15284643
Hair Love,2019,G,7,"Animation, Short, Comedy",0,0,7.4,330661
Halloween,1978,R,91,"Horror, Thriller",96,87,7.7,47160000
Hamilton,2020,PG-13,160,"Biography, Drama, History",98,89,8.3,0
Hamlet,1996,PG-13,242,Drama,95,0,7.7,4708156
Handsome Devil,2016,TV-MA,95,"Comedy, Drama, Sport",84,60,7.0,0
Hannah and Her Sisters,1986,PG-13,107,"Comedy, Drama",91,90,7.8,40084041
Happiest Season,2020,PG-13,102,"Comedy, Romance",82,69,6.6,0
Happiness,1998,NC-17,134,"Comedy, Drama",83,81,7.7,2982011
Harold and Maude,1971,PG,91,"Comedy, Drama, Romance",86,62,7.9,0
Harriet,2019,PG-13,125,"Action, Biography, Drama",74,66,6.7,43082155
Harry Potter and the Chamber of Secrets,2002,PG,161,"Adventure, Family, Fantasy",82,63,7.4,262641637
Harry Potter and the Deathly Hallows: Part 1,2010,PG-13,146,"Adventure, Family, Fantasy",77,65,7.7,296374621
Harry Potter and the Deathly Hallows: Part 2,2011,PG-13,130,"Adventure, Family, Fantasy",96,85,8.1,381447587
Harry Potter and the Goblet of Fire,2005,PG-13,157,"Adventure, Family, Fantasy",88,81,7.7,290469928
Harry Potter and the Half-Blood Prince,2009,PG,153,"Action, Adventure, Family",84,78,7.6,302334374
Harry Potter and the Order of the Phoenix,2007,PG-13,138,"Action, Adventure, Family",78,71,7.5,292382727
Harry Potter and the Prisoner of Azkaban,2004,PG,142,"Adventure, Family, Fantasy",90,82,7.9,250105651
Harry Potter and the Sorcerer's Stone,2001,PG,152,"Adventure, Family, Fantasy",81,65,7.6,318886962
Harvey,1950,Approved,104,"Comedy, Drama, Fantasy",86,0,7.9,0
Heat,1995,R,170,"Action, Crime, Drama",83,76,8.3,67436818
Heathers,1988,R,103,"Comedy, Crime",93,72,7.2,1108462
Hedwig and the Angry Inch,2001,R,95,"Comedy, Drama, Music",92,85,7.7,3082286
Hell or High Water,2016,R,102,"Crime, Drama, Thriller",97,88,7.6,27007844
Henry V,1989,PG-13,137,"Biography, Drama, History",98,83,7.5,10161099
Her,2013,R,126,"Drama, Romance, Sci-Fi",94,91,8.0,25568251
Hercules,1997,G,93,"Animation, Adventure, Comedy",82,74,7.3,99112101
Hereditary,2018,R,127,"Drama, Horror, Mystery",90,87,7.3,44069456
Hidden Figures,2016,PG,127,"Biography, Drama, History",93,74,7.8,169607287
High Fidelity,2000,R,113,"Comedy, Drama, Music",91,79,7.4,27287137
High Noon,1952,PG,85,"Drama, Thriller, Western",94,89,8.0,0
High Plains Drifter,1973,R,105,"Drama, Mystery, Western",94,69,7.4,15700000
High Strung,2016,PG,96,"Drama, Music, Romance",75,48,6.3,53447
His Girl Friday,1940,Approved,92,"Comedy, Drama, Romance",99,0,7.8,296000
Hocus Pocus,1993,PG,96,"Comedy, Family, Fantasy",40,43,6.9,49271717
Hocus Pocus 2,2022,PG,103,"Comedy, Family, Fantasy",65,56,6.0,0
Holding the Man,2015,Not Rated,127,"Biography, Drama, History",81,0,7.4,0
Holidate,2020,TV-MA,104,"Comedy, Romance",45,44,6.1,0
Home Alone,1990,PG,103,"Comedy, Family",66,63,7.7,285761243
Honey Boy,2019,R,94,Drama,95,73,7.2,3012615
Honor Society,2022,TV-MA,98,"Comedy, Romance",86,66,6.5,0
Hoosiers,1986,PG,114,"Drama, Sport",91,76,7.4,28607524
Horror of Dracula,1958,Not Rated,82,"Drama, Horror",91,67,7.2,0
Hot Fuzz,2007,R,121,"Action, Comedy, Mystery",91,81,7.8,23637265
Hotel Mumbai,2018,R,123,"Action, Drama, History",77,62,7.6,9651611
Hotel Rwanda,2004,PG-13,121,"Biography, Drama, History",91,79,8.1,23530892
House of Sand and Fog,2003,R,126,"Crime, Drama",74,71,7.5,13040288
How Green Was My Valley,1941,Approved,118,"Drama, Family",93,88,7.7,0
How the Grinch Stole Christmas!,1966,Not Rated,26,"Animation, Comedy, Family",0,0,8.3,0
How the West Was Won,1962,G,164,"Adventure, War, Western",87,56,7.0,76729
How to Steal a Million,1966,Approved,123,"Comedy, Crime, Romance",100,0,7.5,0
How to Train Your Dragon,2010,PG,98,"Animation, Action, Adventure",99,75,8.1,217581231
How to Train Your Dragon 2,2014,PG,102,"Animation, Action, Adventure",92,77,7.8,177002924
How to Train Your Dragon: Homecoming,2019,TV-PG,22,"Animation, Action, Adventure",0,0,7.3,0
How to Train Your Dragon: The Hidden World,2019,PG,104,"Animation, Action, Adventure",90,71,7.4,160945505
Howards End,1992,PG,142,"Drama, Romance",94,88,7.4,26126837
Hugo,2011,PG,126,"Adventure, Drama, Family",93,83,7.5,73864507
Hunger,2008,Not Rated,96,"Biography, Crime, Drama",90,82,7.5,154084
Hunt for the Wilderpeople,2016,PG-13,101,"Adventure, Comedy, Drama",97,81,7.8,5205468
Hustle,2022,R,117,"Comedy, Drama, Sport",93,68,7.3,0
Hustle & Flow,2005,R,116,"Crime, Drama, Music",82,68,7.3,22202809
I Am Legend,2007,PG-13,101,"Action, Drama, Horror",68,65,7.2,256393010
I Am Sam,2001,PG-13,132,Drama,36,28,7.6,40311852
I Can Only Imagine,2018,PG,110,"Biography, Drama, Family",67,30,7.3,83482352
I Confess,1953,Not Rated,95,"Crime, Drama, Thriller",81,68,7.2,2000000
I Origins,2014,R,106,"Drama, Mystery, Romance",52,57,7.3,336472
I See You,2019,R,98,"Drama, Horror, Mystery",76,65,6.8,0
I Still Believe,2020,PG,116,"Biography, Drama, Music",49,41,6.5,9868521
"I, Daniel Blake",2016,R,100,Drama,92,78,7.8,260354
"I, Tonya",2017,R,119,"Biography, Comedy, Drama",90,77,7.5,30014539
Ice Age,2002,PG,81,"Animation, Adventure, Comedy",77,61,7.5,176387405
Identity,2003,R,90,"Mystery, Thriller",63,64,7.3,52159536
If Anything Happens I Love You,2020,PG,13,"Animation, Short, Drama",100,0,7.8,0
If I Stay,2014,PG-13,107,"Drama, Fantasy, Music",35,46,6.7,50474843
If....,1968,NC-17,111,"Crime, Drama",90,0,7.4,0
